               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.052378,            0.027265,                   0,             0.86136,              0.8174,             0.83111,             0.42736,            0.053891,            0.030236,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.052548,            0.027392,                   0,             0.86423,             0.81565,             0.83381,              0.4304,            0.053656,            0.030127,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.052315,             0.02735,                   0,             0.86582,             0.82368,             0.83577,             0.43379,             0.05345,            0.030011,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.052468,            0.027363,                   0,             0.86396,             0.81642,             0.83202,             0.42359,            0.053947,            0.030699,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.05196,            0.027117,                   0,             0.86735,             0.82399,              0.8346,             0.43061,            0.053565,            0.030085,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.052095,            0.027196,                   0,             0.87123,             0.81851,             0.83651,             0.42887,            0.053658,            0.030289,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.051564,            0.027194,                   0,             0.86655,             0.81963,             0.83491,             0.42881,            0.053632,            0.030242,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.051362,            0.027069,                   0,             0.87155,              0.8217,             0.84032,             0.43309,            0.053531,            0.030243,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.051267,            0.026733,                   0,             0.87175,             0.82741,             0.84122,             0.43835,             0.05346,            0.029928,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.05117,            0.027114,                   0,             0.86405,             0.82243,             0.83504,             0.43224,            0.053509,            0.029986,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.050804,            0.026694,                   0,             0.87066,             0.81713,             0.83391,             0.42875,            0.053588,            0.030336,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.050808,            0.026695,                   0,             0.86839,             0.81786,             0.83663,             0.43557,            0.053329,            0.030112,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.050836,            0.026854,                   0,             0.86743,             0.82215,             0.83881,             0.43293,            0.053379,            0.030364,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.050639,             0.02668,                   0,             0.85511,             0.81225,             0.82755,              0.4208,            0.054147,            0.030519,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.050321,            0.026765,                   0,             0.87036,             0.81329,             0.83285,             0.42613,            0.053765,             0.03043,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.050435,            0.026959,                   0,             0.86546,              0.8196,             0.83532,             0.42747,            0.053466,            0.030487,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.050031,            0.026594,                   0,             0.86903,             0.83027,             0.84308,             0.43428,            0.053044,            0.030017,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.049776,            0.026513,                   0,              0.8645,             0.81661,             0.83604,             0.42772,            0.053458,            0.030257,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.049852,            0.026063,                   0,             0.86633,             0.81768,             0.83575,             0.42862,            0.053419,            0.030169,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.049803,            0.026562,                   0,             0.86716,             0.80498,             0.83451,             0.42721,             0.05371,            0.030354,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.049647,            0.026327,                   0,             0.87268,              0.8055,             0.83112,             0.42461,            0.053733,            0.030671,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.049296,            0.026476,                   0,              0.8713,             0.81266,             0.83777,             0.42571,            0.053522,            0.030562,                   0,            0.004159,            0.004159,            0.004159
